# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/23 18:00:19
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0769    2.5500  1.113e+00
  0.0769    2.6000  1.086e+00
  0.0769    2.6500  1.061e+00
  0.0769    2.7000  1.070e+00
  0.0769    2.7500  1.107e+00
  0.0769    2.8000  1.103e+00
  0.0769    2.8500  1.066e+00
  0.0769    2.9000  1.052e+00
  0.0769    2.9500  1.086e+00
  0.0769    3.0000  1.084e+00
  0.0769    3.0500  9.993e-01
  0.0769    3.1000  9.331e-01
  0.0769    3.1500  9.135e-01
  0.0769    3.2000  9.151e-01
  0.0769    3.2500  1.005e+00
  0.0769    3.3000  1.094e+00
  0.0769    3.3500  1.188e+00
  0.0769    3.4000  1.329e+00
  0.0769    3.4500  1.524e+00
  0.0769    3.5000  1.761e+00
  0.0769    3.5500  2.068e+00
  0.0769    3.6000  2.499e+00
  0.0769    3.6500  3.134e+00
  0.0769    3.7000  4.070e+00
  0.0769    3.7500  5.581e+00
  0.0769    3.8000  8.242e+00
  0.0769    3.8500  1.331e+01
  0.0769    3.9000  2.381e+01
  0.0769    3.9500  4.475e+01
  0.0769    4.0000  6.252e+01
  0.0769    4.0500  4.533e+01
  0.0769    4.1000  2.539e+01
  0.0769    4.1500  1.500e+01
  0.0769    4.2000  9.744e+00
  0.0769    4.2500  6.862e+00
  0.0769    4.3000  5.134e+00
  0.0769    4.3500  4.032e+00
  0.0769    4.4000  3.286e+00
  0.0769    4.4500  2.758e+00
  0.0769    4.5000  2.365e+00
  0.0769    4.5500  2.075e+00
  0.0769    4.6000  1.845e+00
  0.0769    4.6500  1.667e+00
  0.0769    4.7000  1.523e+00
  0.0769    4.7500  1.409e+00
  0.0769    4.8000  1.318e+00
  0.0769    4.8500  1.237e+00
  0.0769    4.9000  1.161e+00
  0.0769    4.9500  1.100e+00
  0.0769    5.0000  0.000e+00

  0.1154    0.0000  9.112e-01
  0.1154    0.0500  8.932e-01
  0.1154    0.1000  8.491e-01
  0.1154    0.1500  8.149e-01
  0.1154    0.2000  8.416e-01
  0.1154    0.2500  8.910e-01
  0.1154    0.3000  9.007e-01
  0.1154    0.3500  8.759e-01
  0.1154    0.4000  9.169e-01
  0.1154    0.4500  1.062e+00
  0.1154    0.5000  1.270e+00
  0.1154    0.5500  1.527e+00
  0.1154    0.6000  1.900e+00
  0.1154    0.6500  2.408e+00
  0.1154    0.7000  3.161e+00
  0.1154    0.7500  4.309e+00
  0.1154    0.8000  6.125e+00
  0.1154    0.8500  9.255e+00
  0.1154    0.9000  1.482e+01
  0.1154    0.9500  2.469e+01
  0.1154    1.0000  3.878e+01
  0.1154    1.0500  4.839e+01
  0.1154    1.1000  4.257e+01
  0.1154    1.1500  2.990e+01
  0.1154    1.2000  2.010e+01
  0.1154    1.2500  1.409e+01
  0.1154    1.3000  1.030e+01
  0.1154    1.3500  7.873e+00
  0.1154    1.4000  6.287e+00
  0.1154    1.4500  5.236e+00
  0.1154    1.5000  4.521e+00
  0.1154    1.5500  3.914e+00
  0.1154    1.6000  3.447e+00
  0.1154    1.6500  3.083e+00
  0.1154    1.7000  2.763e+00
  0.1154    1.7500  2.501e+00
  0.1154    1.8000  2.306e+00
  0.1154    1.8500  2.151e+00
  0.1154    1.9000  1.993e+00
  0.1154    1.9500  1.849e+00
  0.1154    2.0000  1.733e+00
  0.1154    2.0500  1.659e+00
  0.1154    2.1000  1.627e+00
  0.1154    2.1500  1.621e+00
  0.1154    2.2000  1.618e+00
  0.1154    2.2500  1.555e+00
  0.1154    2.3000  1.403e+00
  0.1154    2.3500  1.279e+00
  0.1154    2.4000  1.261e+00
  0.1154    2.4500  1.259e+00
  0.1154    2.5000  1.230e+00
  0.1154    2.5500  1.189e+00
  0.1154    2.6000  1.175e+00
  0.1154    2.6500  1.167e+00
  0.1154    2.7000  1.155e+00
  0.1154    2.7500  1.139e+00
  0.1154    2.8000  1.120e+00
  0.1154    2.8500  1.116e+00
  0.1154    2.9000  1.114e+00
  0.1154    2.9500  1.096e+00
  0.1154    3.0000  1.068e+00
  0.1154    3.0500  1.047e+00
  0.1154    3.1000  1.048e+00
  0.1154    3.1500  1.065e+00
  0.1154    3.2000  1.036e+00
  0.1154    3.2500  9.952e-01
  0.1154    3.3000  1.078e+00
  0.1154    3.3500  1.190e+00
  0.1154    3.4000  1.336e+00
  0.1154    3.4500  1.515e+00
  0.1154    3.5000  1.754e+00
  0.1154    3.5500  2.069e+00
  0.1154    3.6000  2.497e+00
  0.1154    3.6500  3.138e+00
  0.1154    3.7000  4.117e+00
  0.1154    3.7500  5.694e+00
  0.1154    3.8000  8.440e+00
  0.1154    3.8500  1.366e+01
  0.1154    3.9000  2.449e+01
  0.1154    3.9500  4.579e+01
  0.1154    4.0000  6.247e+01
  0.1154    4.0500  4.435e+01
  0.1154    4.1000  2.481e+01
  0.1154    4.1500  1.471e+01
  0.1154    4.2000  9.589e+00
  0.1154    4.2500  6.764e+00
  0.1154    4.3000  5.065e+00
  0.1154    4.3500  3.989e+00
  0.1154    4.4000  3.253e+00
  0.1154    4.4500  2.739e+00
  0.1154    4.5000  2.353e+00
  0.1154    4.5500  2.063e+00
  0.1154    4.6000  1.833e+00
  0.1154    4.6500  1.655e+00
  0.1154    4.7000  1.520e+00
  0.1154    4.7500  1.404e+00
  0.1154    4.8000  1.310e+00
  0.1154    4.8500  1.224e+00
  0.1154    4.9000  1.158e+00
  0.1154    4.9500  1.097e+00
  0.1154    5.0000  0.000e+00

  0.1538    0.0000  7.653e-01
  0.1538    0.0500  7.478e-01
  0.1538    0.1000  7.142e-01
  0.1538    0.1500  6.958e-01
  0.1538    0.2000  6.979e-01
  0.1538    0.2500  7.362e-01
  0.1538    0.3000  7.352e-01
  0.1538    0.3500  7.135e-01
  0.1538    0.4000  7.332e-01
  0.1538    0.4500  7.794e-01
  0.1538    0.5000  8.174e-01
  0.1538    0.5500  8.512e-01
  0.1538    0.6000  8.680e-01
  0.1538    0.6500  9.470e-01
  0.1538    0.7000  1.050e+00
  0.1538    0.7500  1.184e+00
  0.1538    0.8000  1.354e+00
  0.1538    0.8500  1.585e+00
  0.1538    0.9000  1.906e+00
  0.1538    0.9500  2.337e+00
  0.1538    1.0000  2.918e+00
  0.1538    1.0500  3.794e+00
  0.1538    1.1000  5.123e+00
  0.1538    1.1500  7.296e+00
  0.1538    1.2000  1.104e+01
  0.1538    1.2500  1.774e+01
  0.1538    1.3000  2.949e+01
  0.1538    1.3500  4.359e+01
  0.1538    1.4000  4.697e+01
  0.1538    1.4500  3.712e+01
  0.1538    1.5000  2.519e+01
  0.1538    1.5500  1.690e+01
  0.1538    1.6000  1.187e+01
  0.1538    1.6500  8.828e+00
  0.1538    1.7000  6.885e+00
  0.1538    1.7500  5.595e+00
  0.1538    1.8000  4.679e+00
  0.1538    1.8500  3.999e+00
  0.1538    1.9000  3.432e+00
  0.1538    1.9500  2.965e+00
  0.1538    2.0000  2.644e+00
  0.1538    2.0500  2.433e+00
  0.1538    2.1000  2.271e+00
  0.1538    2.1500  2.133e+00
  0.1538    2.2000  2.023e+00
  0.1538    2.2500  1.955e+00
  0.1538    2.3000  1.860e+00
  0.1538    2.3500  1.741e+00
  0.1538    2.4000  1.642e+00
  0.1538    2.4500  1.606e+00
  0.1538    2.5000  1.581e+00
  0.1538    2.5500  1.469e+00
  0.1538    2.6000  1.302e+00
  0.1538    2.6500  1.229e+00
  0.1538    2.7000  1.226e+00
  0.1538    2.7500  1.222e+00
  0.1538    2.8000  1.194e+00
  0.1538    2.8500  1.154e+00
  0.1538    2.9000  1.141e+00
  0.1538    2.9500  1.156e+00
  0.1538    3.0000  1.158e+00
  0.1538    3.0500  1.121e+00
  0.1538    3.1000  1.109e+00
  0.1538    3.1500  1.143e+00
  0.1538    3.2000  1.147e+00
  0.1538    3.2500  1.104e+00
  0.1538    3.3000  1.111e+00
  0.1538    3.3500  1.219e+00
  0.1538    3.4000  1.353e+00
  0.1538    3.4500  1.503e+00
  0.1538    3.5000  1.721e+00
  0.1538    3.5500  2.080e+00
  0.1538    3.6000  2.570e+00
  0.1538    3.6500  3.248e+00
  0.1538    3.7000  4.288e+00
  0.1538    3.7500  5.941e+00
  0.1538    3.8000  8.860e+00
  0.1538    3.8500  1.446e+01
  0.1538    3.9000  2.618e+01
  0.1538    3.9500  4.852e+01
  0.1538    4.0000  6.193e+01
  0.1538    4.0500  4.180e+01
  0.1538    4.1000  2.337e+01
  0.1538    4.1500  1.400e+01
  0.1538    4.2000  9.221e+00
  0.1538    4.2500  6.554e+00
  0.1538    4.3000  4.937e+00
  0.1538    4.3500  3.888e+00
  0.1538    4.4000  3.175e+00
  0.1538    4.4500  2.677e+00
  0.1538    4.5000  2.306e+00
  0.1538    4.5500  2.025e+00
  0.1538    4.6000  1.809e+00
  0.1538    4.6500  1.638e+00
  0.1538    4.7000  1.506e+00
  0.1538    4.7500  1.394e+00
  0.1538    4.8000  1.302e+00
  0.1538    4.8500  1.219e+00
  0.1538    4.9000  1.143e+00
  0.1538    4.9500  1.088e+00
  0.1538    5.0000  0.000e+00

  0.1923    0.0000  6.860e-01
  0.1923    0.0500  6.756e-01
  0.1923    0.1000  6.585e-01
  0.1923    0.1500  6.441e-01
  0.1923    0.2000  6.500e-01
  0.1923    0.2500  6.679e-01
  0.1923    0.3000  6.700e-01
  0.1923    0.3500  6.585e-01
  0.1923    0.4000  6.716e-01
  0.1923    0.4500  6.953e-01
  0.1923    0.5000  7.092e-01
  0.1923    0.5500  7.285e-01
  0.1923    0.6000  7.329e-01
  0.1923    0.6500  7.298e-01
  0.1923    0.7000  7.430e-01
  0.1923    0.7500  7.697e-01
  0.1923    0.8000  8.119e-01
  0.1923    0.8500  8.690e-01
  0.1923    0.9000  9.390e-01
  0.1923    0.9500  1.026e+00
  0.1923    1.0000  1.124e+00
  0.1923    1.0500  1.232e+00
  0.1923    1.1000  1.385e+00
  0.1923    1.1500  1.594e+00
  0.1923    1.2000  1.869e+00
  0.1923    1.2500  2.231e+00
  0.1923    1.3000  2.747e+00
  0.1923    1.3500  3.497e+00
  0.1923    1.4000  4.606e+00
  0.1923    1.4500  6.399e+00
  0.1923    1.5000  9.381e+00
  0.1923    1.5500  1.470e+01
  0.1923    1.6000  2.410e+01
  0.1923    1.6500  3.791e+01
  0.1923    1.7000  4.646e+01
  0.1923    1.7500  4.204e+01
  0.1923    1.8000  2.991e+01
  0.1923    1.8500  1.967e+01
  0.1923    1.9000  1.327e+01
  0.1923    1.9500  9.438e+00
  0.1923    2.0000  7.114e+00
  0.1923    2.0500  5.682e+00
  0.1923    2.1000  4.746e+00
  0.1923    2.1500  4.065e+00
  0.1923    2.2000  3.560e+00
  0.1923    2.2500  3.182e+00
  0.1923    2.3000  2.849e+00
  0.1923    2.3500  2.549e+00
  0.1923    2.4000  2.322e+00
  0.1923    2.4500  2.168e+00
  0.1923    2.5000  2.030e+00
  0.1923    2.5500  1.875e+00
  0.1923    2.6000  1.731e+00
  0.1923    2.6500  1.652e+00
  0.1923    2.7000  1.641e+00
  0.1923    2.7500  1.605e+00
  0.1923    2.8000  1.462e+00
  0.1923    2.8500  1.307e+00
  0.1923    2.9000  1.274e+00
  0.1923    2.9500  1.258e+00
  0.1923    3.0000  1.232e+00
  0.1923    3.0500  1.223e+00
  0.1923    3.1000  1.231e+00
  0.1923    3.1500  1.219e+00
  0.1923    3.2000  1.203e+00
  0.1923    3.2500  1.202e+00
  0.1923    3.3000  1.196e+00
  0.1923    3.3500  1.265e+00
  0.1923    3.4000  1.415e+00
  0.1923    3.4500  1.596e+00
  0.1923    3.5000  1.834e+00
  0.1923    3.5500  2.168e+00
  0.1923    3.6000  2.652e+00
  0.1923    3.6500  3.397e+00
  0.1923    3.7000  4.560e+00
  0.1923    3.7500  6.439e+00
  0.1923    3.8000  9.773e+00
  0.1923    3.8500  1.638e+01
