# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/24 18:12:12
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0392    2.2500  7.154e+01
  0.0392    2.3000  4.653e+01
  0.0392    2.3500  3.377e+01
  0.0392    2.4000  2.643e+01
  0.0392    2.4500  2.175e+01
  0.0392    2.5000  1.918e+01
  0.0392    2.5500  1.728e+01
  0.0392    2.6000  1.585e+01
  0.0392    2.6500  1.472e+01
  0.0392    2.7000  1.386e+01
  0.0392    2.7500  1.312e+01
  0.0392    2.8000  1.273e+01
  0.0392    2.8500  1.264e+01
  0.0392    2.9000  1.297e+01
  0.0392    2.9500  1.388e+01
  0.0392    3.0000  1.650e+01
  0.0392    3.0500  2.123e+01
  0.0392    3.1000  2.929e+01
  0.0392    3.1500  4.609e+01
  0.0392    3.2000  8.616e+01
  0.0392    3.2500  1.465e+02
  0.0392    3.3000  1.230e+02
  0.0392    3.3500  6.609e+01
  0.0392    3.4000  3.786e+01
  0.0392    3.4500  2.582e+01
  0.0392    3.5000  1.911e+01
  0.0392    3.5500  1.538e+01
  0.0392    3.6000  1.284e+01
  0.0392    3.6500  1.102e+01
  0.0392    3.7000  9.680e+00
  0.0392    3.7500  8.579e+00
  0.0392    3.8000  7.671e+00
  0.0392    3.8500  6.966e+00
  0.0392    3.9000  6.395e+00
  0.0392    3.9500  5.937e+00
  0.0392    4.0000  5.538e+00
  0.0392    4.0500  5.184e+00
  0.0392    4.1000  4.872e+00
  0.0392    4.1500  4.578e+00
  0.0392    4.2000  4.330e+00
  0.0392    4.2500  4.107e+00
  0.0392    4.3000  3.896e+00
  0.0392    4.3500  3.731e+00
  0.0392    4.4000  3.574e+00
  0.0392    4.4500  3.431e+00
  0.0392    4.5000  3.285e+00
  0.0392    4.5500  3.178e+00
  0.0392    4.6000  3.083e+00
  0.0392    4.6500  2.968e+00
  0.0392    4.7000  2.870e+00
  0.0392    4.7500  2.774e+00
  0.0392    4.8000  2.683e+00
  0.0392    4.8500  2.563e+00
  0.0392    4.9000  2.500e+00
  0.0392    4.9500  2.430e+00
  0.0392    5.0000  0.000e+00

  0.0588    0.0000  8.355e+00
  0.0588    0.0500  8.354e+00
  0.0588    0.1000  8.363e+00
  0.0588    0.1500  8.393e+00
  0.0588    0.2000  8.425e+00
