# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/22 16:07:56
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0396    4.6500  4.594e-01
  0.0396    4.7000  3.646e-01
  0.0396    4.7500  2.811e-01
  0.0396    4.8000  1.800e-01
  0.0396    4.8500  1.209e-01
  0.0396    4.9000  6.114e-02
  0.0396    4.9500  5.519e-02
  0.0396    5.0000  0.000e+00

  0.0495    0.0000  3.057e+00
  0.0495    0.0500  2.493e+00
  0.0495    0.1000  1.270e+03
  0.0495    0.1500  1.475e+01
  0.0495    0.2000  6.895e+00
  0.0495    0.2500  4.781e+00
  0.0495    0.3000  3.756e+00
  0.0495    0.3500  2.872e+00
  0.0495    0.4000  2.287e+00
  0.0495    0.4500  1.947e+00
  0.0495    0.5000  1.088e+00
  0.0495    0.5500  8.932e-01
  0.0495    0.6000  6.691e-01
  0.0495    0.6500  2.941e-01
  0.0495    0.7000  1.797e-01
  0.0495    0.7500  8.442e-02
  0.0495    0.8000  5.880e-02
  0.0495    0.8500  5.731e-02
  0.0495    0.9000  2.091e-02
  0.0495    0.9500  1.104e-01
  0.0495    1.0000  2.608e-01
  0.0495    1.0500  2.967e-01
  0.0495    1.1000  4.700e-01
  0.0495    1.1500  6.181e-01
  0.0495    1.2000  7.982e-01
  0.0495    1.2500  9.359e-01
  0.0495    1.3000  9.699e-01
  0.0495    1.3500  1.085e+00
  0.0495    1.4000  1.212e+00
  0.0495    1.4500  1.359e+00
  0.0495    1.5000  8.533e-01
  0.0495    1.5500  7.289e-01
  0.0495    1.6000  7.703e-01
  0.0495    1.6500  7.561e-01
  0.0495    1.7000  7.107e-01
  0.0495    1.7500  5.939e-01
  0.0495    1.8000  4.590e-01
  0.0495    1.8500  4.106e-01
  0.0495    1.9000  4.000e-01
  0.0495    1.9500  3.615e-01
  0.0495    2.0000  3.017e-01
  0.0495    2.0500  2.696e-01
  0.0495    2.1000  3.175e-01
  0.0495    2.1500  3.822e-01
  0.0495    2.2000  4.548e-01
  0.0495    2.2500  5.114e-01
  0.0495    2.3000  5.561e-01
  0.0495    2.3500  6.413e-01
  0.0495    2.4000  7.585e-01
  0.0495    2.4500  8.480e-01
  0.0495    2.5000  8.768e-01
  0.0495    2.5500  9.149e-01
  0.0495    2.6000  1.006e+00
  0.0495    2.6500  1.086e+00
  0.0495    2.7000  9.281e-01
  0.0495    2.7500  6.340e-01
  0.0495    2.8000  5.139e-01
  0.0495    2.8500  5.385e-01
  0.0495    2.9000  5.583e-01
  0.0495    2.9500  4.978e-01
  0.0495    3.0000  4.477e-01
  0.0495    3.0500  4.270e-01
  0.0495    3.1000  4.180e-01
  0.0495    3.1500  4.139e-01
  0.0495    3.2000  3.992e-01
  0.0495    3.2500  4.254e-01
  0.0495    3.3000  4.676e-01
  0.0495    3.3500  5.078e-01
  0.0495    3.4000  5.331e-01
  0.0495    3.4500  6.109e-01
  0.0495    3.5000  6.849e-01
  0.0495    3.5500  7.571e-01
  0.0495    3.6000  8.531e-01
  0.0495    3.6500  9.022e-01
  0.0495    3.7000  7.888e-01
  0.0495    3.7500  6.001e-01
  0.0495    3.8000  5.332e-01
  0.0495    3.8500  5.604e-01
  0.0495    3.9000  5.547e-01
  0.0495    3.9500  5.215e-01
  0.0495    4.0000  4.482e-01
  0.0495    4.0500  3.605e-01
  0.0495    4.1000  2.711e-01
  0.0495    4.1500  1.847e-01
  0.0495    4.2000  1.542e-01
  0.0495    4.2500  1.659e-01
  0.0495    4.3000  1.604e-01
  0.0495    4.3500  1.820e-01
  0.0495    4.4000  1.921e-01
  0.0495    4.4500  2.018e-01
  0.0495    4.5000  2.480e-01
  0.0495    4.5500  2.855e-01
  0.0495    4.6000  3.116e-01
  0.0495    4.6500  3.578e-01
  0.0495    4.7000  4.038e-01
  0.0495    4.7500  4.373e-01
  0.0495    4.8000  4.749e-01
  0.0495    4.8500  5.087e-01
  0.0495    4.9000  5.178e-01
  0.0495    4.9500  5.354e-01
  0.0495    5.0000  0.000e+00

  0.0594    0.0000  1.306e+00
  0.0594    0.0500  1.825e+00
  0.0594    0.1000  8.944e+00
  0.0594    0.1500  1.947e+02
  0.0594    0.2000  8.682e+00
  0.0594    0.2500  3.849e+00
  0.0594    0.3000  2.553e+00
  0.0594    0.3500  2.055e+00
  0.0594    0.4000  1.510e+00
  0.0594    0.4500  1.416e+00
  0.0594    0.5000  1.396e+00
  0.0594    0.5500  8.525e-01
  0.0594    0.6000  9.163e-01
  0.0594    0.6500  8.792e-01
  0.0594    0.7000  8.791e-01
  0.0594    0.7500  5.673e-01
  0.0594    0.8000  6.055e-01
  0.0594    0.8500  5.901e-01
  0.0594    0.9000  5.864e-01
  0.0594    0.9500  6.234e-01
  0.0594    1.0000  6.090e-01
  0.0594    1.0500  6.713e-01
  0.0594    1.1000  7.466e-01
  0.0594    1.1500  6.499e-01
  0.0594    1.2000  6.068e-01
  0.0594    1.2500  6.902e-01
  0.0594    1.3000  7.200e-01
  0.0594    1.3500  7.773e-01
  0.0594    1.4000  8.014e-01
  0.0594    1.4500  9.109e-01
  0.0594    1.5000  9.755e-01
  0.0594    1.5500  5.395e-01
  0.0594    1.6000  5.965e-01
  0.0594    1.6500  4.927e-01
  0.0594    1.7000  5.200e-01
  0.0594    1.7500  5.312e-01
  0.0594    1.8000  5.386e-01
  0.0594    1.8500  5.616e-01
  0.0594    1.9000  5.639e-01
  0.0594    1.9500  5.672e-01
  0.0594    2.0000  6.054e-01
  0.0594    2.0500  6.398e-01
  0.0594    2.1000  6.426e-01
  0.0594    2.1500  5.245e-01
  0.0594    2.2000  5.048e-01
  0.0594    2.2500  5.536e-01
  0.0594    2.3000  6.041e-01
  0.0594    2.3500  6.209e-01
  0.0594    2.4000  6.729e-01
  0.0594    2.4500  7.277e-01
  0.0594    2.5000  7.420e-01
